Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,98.31,99.13,97.93,97.93,92.84,13076200.0
2017-11-28,98.21,101.7,97.97,101.36,96.09,16773000.0
2017-11-29,102.41,104.22,101.96,103.73,98.34,21105500.0
2017-11-30,104.74,106.66,104.04,104.52,99.09,23945900.0
2017-12-01,104.9,105.32,102.2,104.79,99.34,19683500.0
2017-12-04,107.73,108.4,106.77,106.95,101.39,23576600.0
2017-12-05,105.58,107.41,104.12,105.72,100.22,17193900.0
2017-12-06,105.55,105.76,104.53,104.93,99.47,15476200.0
2017-12-07,103.95,105.19,103.73,104.62,99.18,13371800.0
2017-12-08,104.75,105.94,104.34,105.93,100.42,13506900.0
2017-12-11,105.72,106.06,105.31,105.62,100.13,10591200.0
2017-12-12,106.91,107.37,105.54,106.85,101.29,15508800.0
2017-12-13,106.7,107.11,105.48,105.51,100.02,15020300.0
2017-12-14,106.12,106.45,104.64,104.66,99.22,13034200.0
2017-12-15,105.79,106.52,105.2,106.14,100.62,29350600.0
2017-12-18,107.19,107.63,106.48,106.96,101.4,12713100.0
2017-12-19,107.35,107.49,106.44,106.51,100.97,12149900.0
2017-12-20,107.6,107.73,106.09,106.14,100.62,13091500.0
2017-12-21,106.59,108.07,106.56,107.83,102.22,12323700.0
2017-12-22,108.2,108.46,106.81,107.45,101.86,14573400.0
2017-12-26,107.2,107.99,106.4,107.02,101.46,7403700.0
2017-12-27,106.67,107.29,106.67,107.22,101.65,9496500.0
2017-12-28,107.4,107.84,107.16,107.79,102.19,7440600.0
2017-12-29,108.09,108.28,106.94,106.94,101.38,8925700.0
2018-01-02,107.63,108.02,106.81,107.95,102.34,13578800.0
2018-01-03,107.86,108.49,107.48,108.06,102.44,11901000.0
2018-01-04,108.36,110.03,108.2,109.04,103.91,12953700.0
2018-01-05,109.26,109.55,107.78,108.34,103.24,14155000.0
2018-01-08,108.15,108.68,107.7,108.5,103.39,12466500.0
2018-01-09,108.72,109.63,108.49,109.05,103.92,13292300.0
