Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,115.2,120.3,113.25,119.97,118.61,19053300.0
2018-02-07,120.09,122.46,119.21,119.65,118.3,9294000.0
2018-02-08,119.53,119.82,113.54,113.86,112.57,12673400.0
2018-02-09,114.55,117.21,111.02,116.32,115.01,17695500.0
2018-02-12,117.79,118.84,116.88,118.47,117.13,11526300.0
2018-02-13,117.85,118.8,117.13,118.35,117.01,7803900.0
2018-02-14,117.62,120.95,117.5,120.83,119.46,9206400.0
2018-02-15,121.7,122.31,119.97,122.28,121.11,6921300.0
2018-02-16,121.63,122.99,121.57,121.85,120.68,6371400.0
2018-02-20,121.35,123.05,121.02,122.01,120.84,6182800.0
2018-02-21,122.05,122.83,120.41,120.43,119.28,7676100.0
2018-02-22,120.67,121.38,119.62,120.38,119.23,4994000.0
2018-02-23,121.57,122.96,121.22,122.93,121.75,5036900.0
2018-02-26,123.58,124.6,123.32,124.59,123.4,6270500.0
2018-02-27,124.7,125.3,123.35,123.37,122.19,7287200.0
2018-02-28,123.65,124.98,122.88,122.94,121.76,6780900.0
2018-03-01,123.26,124.0,119.62,120.4,119.25,8819600.0
2018-03-02,119.09,120.98,117.86,120.77,119.61,7581900.0
2018-03-05,120.45,122.31,119.44,121.88,120.71,5810200.0
2018-03-06,122.83,123.24,120.67,121.06,119.9,7464400.0
2018-03-07,120.03,122.24,119.7,121.85,120.68,7254100.0
2018-03-08,121.96,122.82,121.17,122.22,121.05,6948900.0
2018-03-09,123.25,124.79,122.87,124.51,123.32,6397700.0
2018-03-12,124.75,124.98,123.48,124.24,123.05,8636000.0
2018-03-13,124.25,125.0,122.9,123.2,122.02,9479500.0
2018-03-14,124.04,124.04,121.9,122.58,121.41,7855000.0
2018-03-15,123.13,124.42,122.7,123.41,122.23,5861900.0
2018-03-16,123.85,125.05,123.33,124.53,123.34,9447100.0
2018-03-19,123.94,124.31,122.28,123.21,122.03,17387800.0
2018-03-20,123.38,125.17,123.3,124.91,123.71,7779700.0
2018-03-21,124.9,125.44,123.07,123.22,122.04,7359500.0
2018-03-22,122.2,122.68,119.7,119.99,118.84,10501500.0
2018-03-23,119.89,120.33,116.76,117.0,115.88,10024300.0
2018-03-26,119.09,120.74,117.8,120.64,119.48,8735400.0
2018-03-27,121.52,121.6,116.74,117.4,116.28,9008600.0
2018-03-28,116.93,118.07,116.03,116.99,115.87,9420400.0
2018-03-29,117.68,120.59,117.04,119.62,118.47,12918100.0
2018-04-02,119.27,119.83,116.76,118.39,117.26,9877100.0
2018-04-03,118.89,119.99,117.49,119.2,118.06,7084800.0
2018-04-04,116.9,120.12,116.71,119.81,118.66,8425700.0
2018-04-05,121.0,122.01,120.37,121.19,120.03,6816000.0
2018-04-06,120.18,120.56,117.12,117.7,116.57,8383800.0
2018-04-09,118.63,120.67,118.63,118.79,117.65,7024800.0
2018-04-10,120.56,121.16,119.64,120.72,119.56,8947200.0
2018-04-11,119.99,121.66,119.62,119.78,118.63,5874900.0
2018-04-12,120.4,121.98,120.39,121.07,119.91,5666000.0
2018-04-13,121.73,122.47,120.65,120.75,119.59,9174300.0
2018-04-16,122.11,122.87,121.51,121.88,120.71,6903200.0
2018-04-17,122.91,124.26,122.52,123.8,122.61,5979600.0
2018-04-18,124.06,124.87,123.38,124.48,123.29,5171000.0
2018-04-19,124.31,124.72,123.15,123.96,122.77,7294100.0
2018-04-20,124.06,124.82,123.31,124.2,123.01,7479400.0
2018-04-23,124.3,124.97,123.9,124.46,123.27,8004300.0
2018-04-24,124.87,125.04,120.55,121.27,120.11,9434400.0
2018-04-25,121.14,121.35,119.37,121.21,120.05,8001200.0
2018-04-26,125.14,127.59,123.78,127.08,125.86,14345800.0
2018-04-27,126.44,127.06,125.39,126.01,124.8,6842700.0
2018-04-30,126.74,127.9,126.66,126.88,125.66,8449200.0
2018-05-01,126.86,127.57,125.51,127.51,126.29,6407300.0
2018-05-02,127.88,128.1,126.0,126.38,125.17,8515300.0
2018-05-03,125.81,127.46,125.32,127.18,125.96,6778600.0
2018-05-04,126.33,128.36,126.07,128.16,126.93,5798400.0
2018-05-07,128.4,129.52,128.25,129.26,128.02,5737300.0
2018-05-08,129.14,129.97,128.31,129.9,128.66,5044700.0
2018-05-09,130.01,131.0,129.59,130.84,129.59,6119400.0
2018-05-10,131.29,131.75,130.72,131.0,129.75,6585800.0
2018-05-11,131.0,132.09,130.23,131.82,130.56,5437100.0
2018-05-14,132.43,132.5,130.67,131.21,129.95,5017000.0
2018-05-15,130.56,131.4,129.9,131.1,129.84,5532300.0
2018-05-16,131.09,131.4,130.54,130.89,129.64,5124200.0
2018-05-17,130.58,130.8,129.61,129.93,128.89,4911700.0
2018-05-18,129.62,130.34,129.07,129.93,128.89,6082700.0
2018-05-21,130.95,131.51,129.99,130.66,129.62,5591800.0
2018-05-22,131.0,131.78,130.5,130.71,129.67,6645500.0
2018-05-23,130.06,131.91,129.8,131.88,130.83,6569100.0
2018-05-24,131.82,132.21,130.5,131.89,130.84,6035200.0
2018-05-25,131.88,132.1,130.93,131.28,130.23,7509600.0
2018-05-29,130.39,131.05,129.06,129.69,128.65,10401900.0
2018-05-30,130.2,131.1,129.87,130.64,129.6,10631300.0
2018-05-31,130.65,131.58,129.98,130.72,129.68,11086000.0
2018-06-01,131.84,132.51,130.36,130.85,129.8,8323400.0
2018-06-04,131.94,133.57,131.43,133.07,132.01,7178000.0
2018-06-05,133.38,133.62,132.7,133.56,132.49,6198200.0
2018-06-06,134.0,136.31,133.61,136.28,135.19,8065800.0
2018-06-07,136.36,136.58,133.05,133.84,132.77,8309200.0
2018-06-08,133.44,134.92,133.23,134.74,133.66,5261000.0
2018-06-11,134.9,135.19,133.81,133.91,132.84,7988700.0
