Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,90.1,90.79,88.01,88.35,85.87,36599700.0
2018-01-17,89.08,90.28,88.75,90.14,87.61,25621200.0
2018-01-18,89.8,90.67,89.66,90.1,87.57,24159700.0
2018-01-19,90.14,90.61,89.66,90.0,87.48,36875000.0
2018-01-22,90.0,91.62,89.74,91.61,89.04,23601600.0
2018-01-23,91.9,92.3,91.54,91.9,89.32,23412800.0
2018-01-24,92.55,93.43,91.58,91.82,89.25,33277500.0
2018-01-25,92.47,93.24,91.93,92.33,89.74,26383200.0
2018-01-26,93.12,94.06,92.58,94.06,91.42,29172200.0
2018-01-29,95.14,95.45,93.72,93.92,91.29,31569900.0
2018-01-30,93.3,93.66,92.1,92.74,90.14,38635100.0
2018-01-31,93.75,95.4,93.51,95.01,92.35,48756300.0
2018-02-01,94.79,96.07,93.58,94.26,91.62,47227900.0
2018-02-02,93.64,93.97,91.5,91.78,89.21,47867800.0
2018-02-05,90.56,93.24,88.0,88.0,85.53,51031500.0
2018-02-06,86.89,91.48,85.25,91.33,88.77,67998600.0
2018-02-07,90.49,91.77,89.2,89.61,87.1,41107600.0
2018-02-08,89.71,89.88,84.76,85.01,82.63,55628700.0
2018-02-09,86.3,88.93,83.83,88.18,85.71,63499100.0
2018-02-12,88.74,89.78,87.93,89.13,86.63,35720300.0
2018-02-13,88.93,90.0,87.8,89.83,87.31,26407700.0
2018-02-14,88.51,90.99,88.41,90.81,88.68,34960900.0
2018-02-15,91.21,92.72,90.62,92.66,90.48,27823900.0
2018-02-16,92.45,93.5,91.8,92.0,89.84,30596900.0
2018-02-20,91.48,93.06,91.01,92.72,90.54,30911700.0
2018-02-21,92.98,93.36,91.49,91.49,89.34,26922500.0
2018-02-22,92.05,92.73,91.36,91.73,89.58,24392800.0
2018-02-23,93.6,94.07,92.36,94.06,91.85,26329200.0
2018-02-26,94.4,95.45,94.25,95.42,93.18,30199800.0
2018-02-27,95.74,95.84,94.2,94.2,91.99,25869100.0
2018-02-28,94.84,95.71,93.63,93.77,91.57,31167300.0
2018-03-01,93.99,94.57,91.84,92.85,90.67,37135600.0
2018-03-02,91.58,93.15,90.86,93.05,90.87,32830400.0
2018-03-05,92.34,94.27,92.26,93.64,91.44,23901600.0
2018-03-06,94.34,94.49,92.94,93.32,91.13,22175800.0
2018-03-07,93.16,93.94,92.43,93.86,91.66,26716100.0
2018-03-08,94.27,95.1,93.77,94.43,92.21,25887800.0
2018-03-09,95.29,96.54,95.0,96.54,94.27,36937300.0
2018-03-12,96.5,97.21,96.04,96.77,94.5,26073700.0
2018-03-13,97.0,97.24,93.97,94.41,92.19,35387800.0
2018-03-14,95.12,95.41,93.5,93.85,91.65,32132000.0
2018-03-15,93.53,94.58,92.83,94.18,91.97,27611000.0
2018-03-16,94.68,95.38,93.92,94.6,92.38,49081300.0
2018-03-19,93.74,93.9,92.11,92.89,90.71,33344100.0
2018-03-20,93.05,93.77,93.0,93.13,90.94,23075200.0
2018-03-21,92.93,94.05,92.21,92.48,90.31,24457100.0
2018-03-22,91.27,91.75,89.66,89.79,87.68,38604700.0
2018-03-23,89.5,90.46,87.08,87.18,85.13,44068900.0
2018-03-26,90.61,94.0,90.4,93.78,91.58,56396800.0
2018-03-27,94.94,95.14,88.51,89.47,87.37,56569000.0
2018-03-28,89.82,91.23,88.87,89.39,87.29,52501100.0
2018-03-29,90.18,92.29,88.4,91.27,89.13,45867500.0
2018-04-02,90.47,90.88,87.51,88.52,86.44,48515400.0
2018-04-03,89.58,90.05,87.89,89.71,87.6,37213800.0
2018-04-04,87.85,92.76,87.73,92.33,90.16,35560000.0
2018-04-05,92.44,93.07,91.4,92.38,90.21,29771900.0
2018-04-06,91.49,92.46,89.48,90.23,88.11,38026000.0
2018-04-09,91.04,93.17,90.62,90.77,88.64,31533900.0
2018-04-10,92.39,93.28,91.64,92.88,90.7,26812000.0
2018-04-11,92.01,93.29,91.48,91.86,89.7,24872100.0
2018-04-12,92.43,94.16,92.43,93.58,91.38,26758900.0
2018-04-13,94.05,94.18,92.44,93.08,90.89,23346100.0
2018-04-16,94.07,94.66,93.42,94.17,91.96,20288100.0
2018-04-17,95.0,96.54,94.88,96.07,93.81,26771000.0
